Row ID|Order ID|Order Date|Ship Date|Ship Mode|Customer ID|Customer Name|Segment|Country|City|State|Postal Code|Region|Product ID|Category|Sub-Category|Product Name|Sales|Quantity|Discount|Profit
1|CA-2018-152156|2018-11-08|2018-11-11|Second Class|CG-12520|Claire Gute|Consumer|United States|Henderson|Kentucky|42420|South|FUR-BO-10001798|Furniture|Bookcases|Bush Somerset Collection Bookcase|261.9600|2|0.00|41.9136000000000000
2|CA-2018-152156|2018-11-08|2018-11-11|Second Class|CG-12520|Claire Gute|Consumer|United States|Henderson|Kentucky|42420|South|FUR-CH-10000454|Furniture|Chairs|Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back|731.9400|3|0.00|219.5820000000000000
3|CA-2018-138688|2018-06-12|2018-06-16|Second Class|DV-13045|Darrin Van Huff|Corporate|United States|Los Angeles|California|90036|West|OFF-LA-10000240|Office Supplies|Labels|Self-Adhesive Address Labels for Typewriters by Universal|14.6200|2|0.00|6.8714000000000000
4|US-2017-108966|2017-10-11|2017-10-18|Standard Class|SO-20335|Sean O'Donnell|Consumer|United States|Fort Lauderdale|Florida|33311|South|FUR-TA-10000577|Furniture|Tables|Bretford CR4500 Series Slim Rectangular Table|957.5775|5|0.45|-383.0310000000000000
5|US-2017-108966|2017-10-11|2017-10-18|Standard Class|SO-20335|Sean O'Donnell|Consumer|United States|Fort Lauderdale|Florida|33311|South|OFF-ST-10000760|Office Supplies|Storage|Eldon Fold 'N Roll Cart System|22.3680|2|0.20|2.5164000000000000
6|CA-2016-115812|2016-06-09|2016-06-14|Standard Class|BH-11710|Brosina Hoffman|Consumer|United States|Los Angeles|California|90032|West|FUR-FU-10001487|Furniture|Furnishings|Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood|48.8600|7|0.00|14.1694000000000000
7|CA-2016-115812|2016-06-09|2016-06-14|Standard Class|BH-11710|Brosina Hoffman|Consumer|United States|Los Angeles|California|90032|West|OFF-AR-10002833|Office Supplies|Art|Newell 322|7.2800|4|0.00|1.9656000000000000
8|CA-2016-115812|2016-06-09|2016-06-14|Standard Class|BH-11710|Brosina Hoffman|Consumer|United States|Los Angeles|California|90032|West|TEC-PH-10002275|Technology|Phones|Mitel 5320 IP Phone VoIP phone|907.1520|6|0.20|90.7152000000000000
9|CA-2016-115812|2016-06-09|2016-06-14|Standard Class|BH-11710|Brosina Hoffman|Consumer|United States|Los Angeles|California|90032|West|OFF-BI-10003910|Office Supplies|Binders|DXL Angle-View Binders with Locking Rings by Samsill|18.5040|3|0.20|5.7825000000000000
10|CA-2016-115812|2016-06-09|2016-06-14|Standard Class|BH-11710|Brosina Hoffman|Consumer|United States|Los Angeles|California|90032|West|OFF-AP-10002892|Office Supplies|Appliances|Belkin F5C206VTEL 6 Outlet Surge|114.9000|5|0.00|34.4700000000000000
